#,Class,Who,Progress,Num,Denom,✓,,Name,Requirements,Rewards,Incomplete,Actual Requirements (if different),Description,Icon Name,Tab,Actual Name,Time,Responsibility
11,Subset,,,0,0,FALSE,,Lush Hour,Obtain a stack of all lush-related blocks (See requirement notes below),,,See requirement notes below,Obtain a stack of all lush-related blocks,moss_block,Mining,blazeandcave:mining/lush_hour,,
12,Incidental,,,0,0,FALSE,,Heart of Darkness,Submerge yourself in complete darkness (Enter a block where the light level is 0),,,Enter a block where the light level is 0,Submerge yourself in complete darkness,black_concrete_powder,Mining,blazeandcave:mining/heart_of_darkness,,
13,Incidental,,,0,0,FALSE,,My work here is done,Get caught in a cave-in of gravel (Enter a block of gravel),,,Enter a block of gravel,Get caught in a cave-in of gravel,gravel,Mining,blazeandcave:mining/my_work_here_is_done,,
14,Subset,,,0,0,FALSE,,Nananananananana...,Accidentally hit a bat underground,16 Torches,,,Accidentally hit a bat underground,bat_spawn_egg,Mining,blazeandcave:mining/nananananananana,,
15,Unique,,,0,0,FALSE,,Blind as a Bat,Kill a Bat while under the blindness or darkness effect,,,,Kill a Bat while under the blindness or darkness effect,black_wool,Mining,blazeandcave:mining/blind_as_a_bat,,Misc
16,Unique,,,0,0,FALSE,,Pixel Perfect,Use a Spyglass to stare at a bat from at least 50 blocks away,,,,Use a Spyglass to stare at a bat from at least 50 blocks away,structure_void,Mining,blazeandcave:mining/pixel_perfect,,All Mobs
17,Subset,,,0,0,FALSE,,Meet the Flintstones,Dig up some flint from a patch of gravel (Obtain flint),2 Flint,,Obtain flint,Dig up some flint from a patch of gravel,flint,Mining,blazeandcave:mining/meet_the_flintstones,,
18,Incidental,,,0,0,FALSE,,Strike a Light,Craft Flint and Steel and use it to light the ground on fire,"2 Flint, 2 Iron Ingots",,,Craft Flint and Steel and use it to light the ground on fire,flint_and_steel,Mining,blazeandcave:mining/strike_a_light,,
19,Subset,,,0,0,FALSE,,Flint Miner,Dig up 64 pieces of flint,8 Flint,,,Dig up 64 pieces of flint,flint,Mining,blazeandcave:mining/flint_miner,,
20,Child,,,0,0,FALSE,,Bonfire Night,Light every flammable block on fire (A list of blocks can be found at: https://minecraft.wiki/w/Fire#Burning_blocks),"16 Flint, 16 Iron Ingots",,A list of blocks can be found at: https://minecraft.wiki/w/Fire#Burning_blocks,Light every flammable block on fire,stripped_spruce_log,Mining,blazeandcave:mining/bonfire_night,,All Items
21,Subset,,,0,0,FALSE,,Dungeons and Spawners,Open a chest in a dungeon deep underground (Open a Dungeon loot chest that has not been opened before),,,Open a Dungeon loot chest that has not been opened before,Open a chest in a dungeon deep underground,mossy_cobblestone,Mining,blazeandcave:mining/dungeons_and_spawners,,
22,Subset,,,0,0,FALSE,,This is Mine Now!,Find an abandoned mineshaft that was not dug out by you (Enter an abandoned mineshaft),,,Enter an abandoned mineshaft,Find an abandoned mineshaft that was not dug out by you,oak_fence,Mining,blazeandcave:mining/this_is_mine_now,,
23,Incidental,,,0,0,FALSE,,Gold Mine!,Find a mineshaft on the surface in a mesa biome (Enter an abandoned mineshaft above y=64 in any badlands biome),4 Raw Gold,,Enter an abandoned mineshaft above y=64 in any badlands biome,Find a mineshaft on the surface in a mesa biome,gold_ore,Mining,blazeandcave:mining/gold_mine,,
24,Incidental,,,0,0,FALSE,,Eeuuwww!,Get stuck in a spider web (Enter a cobweb),3 Cobwebs,,Enter a cobweb,Get stuck in a spider web,cobweb,Mining,blazeandcave:mining/eeuuwww,,
25,Subset,,,0,0,FALSE,,Steals on Wheels,Loot a minecart chest from an Abandoned Mineshaft (Open a Mineshaft loot chest that has not been opened before),4 Iron Ingots,,Open a Mineshaft loot chest that has not been opened before,Loot a minecart chest from an Abandoned Mineshaft,chest_minecart,Mining,blazeandcave:mining/steals_on_wheels,,
26,Subset,,,0,0,FALSE,,Lichen Subscribe,Use shears to obtain Glow Lichen from an underground cave,4 Glow Lichen,,,Use shears to obtain Glow Lichen from an underground cave,glow_lichen,Mining,blazeandcave:mining/lichen_subscribe,,
27,Subset,,,0,0,FALSE,,That's the point!,Obtain some Pointed Dripstone from a Dripstone Cave,8 Pointed Dripstone,,,Obtain some Pointed Dripstone from a Dripstone Cave,pointed_dripstone,Mining,blazeandcave:mining/thats_the_point,,
28,Unique,,,0,0,FALSE,,Dripstone Drop,Survive a fall of at least 10 blocks onto some Pointed Dripstone (The pointed dripstone cannot be waterlogged),16 Pointed Dripstone,,The pointed dripstone cannot be waterlogged,Survive a fall of at least 10 blocks onto some Pointed Dripstone,dripstone_block,Mining,blazeandcave:mining/dripstone_drop,,Misc
29,Unique,,,0,0,FALSE,,Lucky Break,Survive a long fall with just a sliver of health remaining (Fall at least 15 blocks and have 1 or 2 health remaining upon landing),1 Feather Falling II Enchanted Book,,Fall at least 15 blocks and have 1 or 2 health remaining upon landing,Survive a long fall with just a sliver of health remaining,chainmail_boots,Mining,blazeandcave:mining/lucky_break,,Misc
30,Unique,,,0,0,FALSE,,Caves & Cliffs,Free fall from the top of the world (build limit) to the bottom of the world and survive‌ (Drop from a point above y-level 319 and land below y-level -59),1 Feather Falling III Enchanted Book,,Drop from a point above y-level 319 and land below y-level -59,Free fall from the top of the world (build limit) to the bottom of the world and survive‌,water_bucket,Mining,minecraft:adventure/fall_from_world_height,,World Height
31,Subset,,,0,0,FALSE,,Deep Slate Nine,Mine deep enough that the stone darkens (Go below y-level 5.5 in the Overworld),,,Go below y-level 5.5 in the Overworld,Mine deep enough that the stone darkens,deepslate,Mining,blazeandcave:mining/deep_slate_nine,,
32,Subset,,,0,0,FALSE,,Rock Bottom,Dig down to the bottom of the world (Go below y-level -59.5 in the Overworld),5 Iron Ingots,,Go below y-level -59.5 in the Overworld,Dig down to the bottom of the world,bedrock,Mining,blazeandcave:mining/rock_bottom,,World Height
33,Child,,,0,0,FALSE,,Bottom to Top,Place every cave block at the very top of the world (See requirement notes below),1 Efficiency III Enchanted Book,,See requirement notes below,Place every cave block at the very top of the world,diorite,Mining,blazeandcave:mining/bottom_to_top,,World Height
34,Incidental,,,0,0,FALSE,,Sneak 100,"Sneak near something in the Deep Dark to prevent being heard (Sneak in a way that you avoid making a vibration near a Sculk Sensor, Shrieker, or Warden)",,,"Sneak in a way that you avoid making a vibration near a Sculk Sensor, Shrieker, or Warden",Sneak near something in the Deep Dark to prevent being heard,sculk,Mining,minecraft:adventure/avoid_vibration,,
35,Subset,,,0,0,FALSE,,It spreads!,Kill a mob near a Sculk Catalyst,,,,Kill a mob near a Sculk Catalyst,sculk_catalyst,Mining,minecraft:adventure/kill_mob_near_sculk_catalyst,,
36,Subset,,,0,0,FALSE,,Shriek Forever After,Trigger a Sculk Shrieker in the Deep Dark. Might not want to do that too many more times… (Receive the Darkness effect),,,Receive the Darkness effect,Trigger a Sculk Shrieker in the Deep Dark. Might not want to do that too many more times…,sculk_shrieker,Mining,blazeandcave:mining/shriek_forever_after,,
37,Subset,,,0,0,FALSE,,Fallen Kingdom,Find and enter an Ancient City deep underground,,,,Find and enter an Ancient City deep underground,reinforced_deepslate,Mining,blazeandcave:mining/fallen_kingdom,,
38,Subset,,,0,0,FALSE,,Frigid Diversions,Loot a chest inside an ice box in an Ancient City (Generate the loot of an ancient city ice box chest (i.e. you must be the first to open it)),,,Generate the loot of an ancient city ice box chest (i.e. you must be the first to open it),Loot a chest inside an ice box in an Ancient City,packed_ice,Mining,blazeandcave:mining/frigid_diversions,,
39,Subset,,,0,0,FALSE,,Death Pointer,"Using Echo Shards found in Ancient Cities, craft a Recovery Compass (Obtain a Recovery Compass)",4 Echo Shards,,Obtain a Recovery Compass,"Using Echo Shards found in Ancient Cities, craft a Recovery Compass",recovery_compass,Mining,blazeandcave:mining/death_pointer,,
40,Subset,,,0,0,FALSE,,9 to 5,Collect enough Disc Fragments to craft another producer of mysterious sounds (Obtain Music Disc 5),5 Disc Fragment 5's,,Obtain Music Disc 5,Collect enough Disc Fragments to craft another producer of mysterious sounds,music_disc_5,Mining,blazeandcave:mining/9_to_5,,
41,Subset,,,0,0,FALSE,,Echonomy,Collect a stack of Echo Shards,8 Echo Shards,,,Collect a stack of Echo Shards,echo_shard,Mining,blazeandcave:mining/echonomy,,
42,Subset,,,0,0,FALSE,,Getting an Upgrade,Construct a better pickaxe (Obtain a stone pickaxe),,,Obtain a stone pickaxe,Construct a better pickaxe,stone_pickaxe,Mining,minecraft:story/upgrade_tools,,
43,Subset,,,0,0,FALSE,,MOAR Tools,"Craft a stone pickaxe, axe, shovel and hoe",12 Cobblestone,,,"Craft a stone pickaxe, axe, shovel and hoe",stone_shovel,Mining,blazeandcave:mining/moar_tools,,
44,Subset,,,0,0,FALSE,,Aww it broke!,Break your first tool,,,,Break your first tool,stick,Mining,blazeandcave:mining/aww_it_broke,,
45,Unique,,,0,0,FALSE,,Chestful of Cobblestone,"Mine 1728 cobblestone, place it in a chest, then stand on it in victory (27 stacks of 64 cobblestone in a single chest. You must stand on top of the chest)",1 Efficiency II Enchanted Book,,27 stacks of 64 cobblestone in a single chest. You must stand on top of the chest,"Mine 1728 cobblestone, place it in a chest, then stand on it in victory",cobblestone,Mining,blazeandcave:mining/chestful_of_cobblestone,,Crafting
46,Unique,,,0,0,FALSE,,Bulldozer,"Destroy a total of 10,000 blocks of stone (Mine a total of 10,000 blocks of stone)",,,"Mine a total of 10,000 blocks of stone","Destroy a total of 10,000 blocks of stone",stone,Mining,blazeandcave:mining/bulldozer,,Crafting
47,Subset,,,0,0,FALSE,,Fossil Fuel,Coal! As in dead dinosaurs! (Obtain coal),4 Coal,,Obtain coal,Coal! As in dead dinosaurs!,coal,Mining,blazeandcave:mining/fossil_fuel,,
48,Subset,,,0,0,FALSE,,Coal Miner,Mine a stack of coal,8 Coal,,,Mine a stack of coal,coal_block,Mining,blazeandcave:mining/coal_miner,,
49,Subset,,,0,0,FALSE,,Master Coal Miner,Mine enough coal to make a stack of coal blocks,8 Coal Blocks,,,Mine enough coal to make a stack of coal blocks,coal_block,Mining,blazeandcave:mining/master_coal_miner,,
50,Subset,,,0,0,FALSE,,Hot Topic,Construct a furnace out of eight stone blocks,,,,Construct a furnace out of eight stone blocks,furnace,Mining,blazeandcave:mining/hot_topic,,
51,Subset,,,0,0,FALSE,,Renewable Energy,Smelt wood trunks using charcoal to make more charcoal (Smelt charcoal),4 Charcoal,,Smelt charcoal,Smelt wood trunks using charcoal to make more charcoal,charcoal,Mining,blazeandcave:mining/renewable_energy,,
52,Subset,,,0,0,FALSE,,Smokin' Hot,Upgrade your furnace to a smoker using some logs,,,,Upgrade your furnace to a smoker using some logs,smoker,Mining,blazeandcave:mining/smokin_hot,,
53,Subset,,,0,0,FALSE,,Coppers and Robbers,Smelt a Copper Ingot (Obtain a copper ingot),2 Copper Ingots,,Obtain a copper ingot,Smelt a Copper Ingot,copper_ingot,Mining,blazeandcave:mining/youll_never_take_me_alive_copper,,
54,Subset,,,0,0,FALSE,,Copper Miner,Mine a stack of Raw Copper,8 Raw Copper,,,Mine a stack of Raw Copper,raw_copper,Mining,blazeandcave:mining/copper_miner,,
55,Subset,,,0,0,FALSE,,Master Copper Miner,"Mine enough copper to make a stack of Copper Blocks (Obtain 64 unoxidized, unwaxed Blocks of Copper)",8 Copper Blocks,,"Obtain 64 unoxidized, unwaxed Blocks of Copper",Mine enough copper to make a stack of Copper Blocks,copper_block,Mining,blazeandcave:mining/master_copper_miner,,
56,Subset,,,0,0,FALSE,,Budget Channeling,Craft a Lightning Rod using Copper Ingots (Obtain a lightning rod),2 Copper Ingots,,Obtain a lightning rod,Craft a Lightning Rod using Copper Ingots,lightning_rod,Mining,blazeandcave:mining/budget_channeling,,
57,Unique,,,0,0,FALSE,,Surge Protector,Protect a villager from an undesired shock without starting a fire (Have lightning strike a lightning rod with a villager standing at a safe distance away),8 Emeralds,,Have lightning strike a lightning rod with a villager standing at a safe distance away,Protect a villager from an undesired shock without starting a fire,villager_spawn_egg,Mining,minecraft:adventure/lightning_rod_with_villager_no_fire,,Pacelocks
58,Unique,,,0,0,FALSE,,Called Shot,Get struck by lightning while standing on a Lightning Rod,,,,Get struck by lightning while standing on a Lightning Rod,exposed_cut_copper,Mining,blazeandcave:mining/called_shot,,Pacelocks
59,Subset,,,0,0,FALSE,,Don’t Come a Copper!,"Craft some Cut Copper (Obtain any block with the word ""Cut Copper"" in it (so it can be any oxidisation state, can be waxed, and can be a slab or stairs))",,,"Obtain any block with the word ""Cut Copper"" in it (so it can be any oxidisation state, can be waxed, and can be a slab or stairs)",Craft some Cut Copper,cut_copper,Mining,blazeandcave:mining/dont_come_a_copper,,
60,Incidental,,,0,0,FALSE,,Grate Expectations,Craft or obtain a Copper Grate,,,,Craft or obtain a Copper Grate,copper_grate,Mining,blazeandcave:mining/grate_expectations,,
61,Subset,,,0,0,FALSE,,Wax On,"Use Honeycombs to wax a Copper Block, preventing it from oxidising (Use a honeycomb on any unwaxed copper block OR craft any waxed copper block by adding honeycomb to an unwaxed copper block in the crafting table)",4 Honeycombs,,Use a honeycomb on any unwaxed copper block OR craft any waxed copper block by adding honeycomb to an unwaxed copper block in the crafting table,"Use Honeycombs to wax a Copper Block, preventing it from oxidising",honeycomb,Mining,minecraft:husbandry/wax_on,,
62,Incidental,,,0,0,FALSE,,Wax Off,Use an axe to scrape wax off of a Copper Block (Use an axe on any waxed copper block),,,Use an axe on any waxed copper block,Use an axe to scrape wax off of a Copper Block,stone_axe,Mining,minecraft:husbandry/wax_off,,
63,Subset,,,0,0,FALSE,,The Statue of Liberty,Obtain a fully oxidized Block of Copper (Obtain any type of copper block that is fully oxidized),,,Obtain any type of copper block that is fully oxidized,Obtain a fully oxidized Block of Copper,oxidized_copper,Mining,blazeandcave:mining/the_statue_of_liberty,,
64,Subset,,,0,0,FALSE,,Sly Copper: The Copper Heist,"Collect a stack of every oxidizing stage of Copper Block, Cut Copper, Cut Copper Slabs and Stairs, and the waxed variants of them all (See requirement notes below)",,,See requirement notes below,"Collect a stack of every oxidizing stage of Copper Block, Cut Copper, Cut Copper Slabs and Stairs, and the waxed variants of them all",waxed_weathered_cut_copper_stairs,Mining,blazeandcave:mining/sly_copper_the_copper_heist,,
65,Subset,,,0,0,FALSE,,Acquire Hardware,Smelt an iron ingot (Obtain an iron ingot),2 Iron Ingots,,Obtain an iron ingot,Smelt an iron ingot,iron_ingot,Mining,minecraft:story/smelt_iron,,
66,Subset,,,0,0,FALSE,,Not Chicken McNuggets?,Craft or find iron nuggets,,,,Craft or find iron nuggets,iron_nugget,Mining,blazeandcave:mining/not_chicken_mcnuggets,,
67,Subset,,,0,0,FALSE,,Isn't It Iron Pick,Upgrade your pickaxe (Obtain an iron pickaxe),,,Obtain an iron pickaxe,Upgrade your pickaxe,iron_pickaxe,Mining,minecraft:story/iron_tools,,
68,Subset,,,0,0,FALSE,,Suit Up,"Protect yourself with a piece of iron armor (Wear either an iron helmet, chestplate, leggings, or boots)",2 Iron Ingots,,"Wear either an iron helmet, chestplate, leggings, or boots",Protect yourself with a piece of iron armor,iron_chestplate,Mining,minecraft:story/obtain_armor,,
69,Incidental,,,0,0,FALSE,,Iron Man,"Wear a full suit of iron armor (Wear an iron helmet, chestplate, leggings, and boots at the same time)",3 Iron Ingots,,"Wear an iron helmet, chestplate, leggings, and boots at the same time",Wear a full suit of iron armor,iron_helmet,Mining,blazeandcave:mining/iron_man,,
70,Subset,,,0,0,FALSE,,Iron Miner,Mine a stack of Raw Iron,8 Raw Iron,,,Mine a stack of Raw Iron,raw_iron,Mining,blazeandcave:mining/iron_miner,,
71,Subset,,,0,0,FALSE,,Master Iron Miner,Mine enough iron to make a stack of iron blocks,8 Iron Blocks,,,Mine enough iron to make a stack of iron blocks,iron_block,Mining,blazeandcave:mining/master_iron_miner,,
72,Subset,,,0,0,FALSE,,Gold Rush,Smelt a gold ingot (Obtain a gold ingot),2 Gold Ingots,,Obtain a gold ingot,Smelt a gold ingot,gold_ingot,Mining,blazeandcave:mining/gold_rush,,
73,Subset,,,0,0,FALSE,,Living Like Kings,"Make yourself shiny with golden armor (Wear either a golden helmet, chestplate, leggings or boots)",2 Gold Ingots,,"Wear either a golden helmet, chestplate, leggings or boots",Make yourself shiny with golden armor,golden_chestplate,Mining,blazeandcave:mining/living_like_kings,,
74,Child,,,0,0,FALSE,,The Mistake!,"Put Mending on a piece of golden armor and realise what you are doing in life (Obtain a golden helmet, chestplate, leggings or boots enchanted with Mending)",,,"Obtain a golden helmet, chestplate, leggings or boots enchanted with Mending",Put Mending on a piece of golden armor and realise what you are doing in life,golden_leggings,Mining,blazeandcave:mining/the_mistake,,All Items
75,Subset,,,0,0,FALSE,,Gold Miner,Mine a stack of Raw Gold,8 Raw Gold,,,Mine a stack of Raw Gold,raw_gold,Mining,blazeandcave:mining/gold_miner,,
76,Subset,,,0,0,FALSE,,Master Gold Miner,Mine enough gold to make a stack of gold blocks,8 Gold Blocks,,,Mine enough gold to make a stack of gold blocks,gold_block,Mining,blazeandcave:mining/master_gold_miner,,
77,Subset,,,0,0,FALSE,,Bling Bling Gone,Completely use up a golden pickaxe and then seriously reevaluate your life choices (Break a golden pickaxe),,,Break a golden pickaxe,Completely use up a golden pickaxe and then seriously reevaluate your life choices,golden_pickaxe,Mining,blazeandcave:mining/bling_bling_gone,,
78,Subset,,,0,0,FALSE,,We've broken our last shovel,"Break all six types of shovels (Break a wooden, stone, iron, golden, diamond and netherite shovel)",,,"Break a wooden, stone, iron, golden, diamond and netherite shovel",Break all six types of shovels,golden_shovel,Mining,blazeandcave:mining/weve_broken_our_last_shovel,,
79,Unique,,,0,0,FALSE,,MOAR Broken Tools,Break every single tool in the game (See requirement notes below),"4 Diamonds, 2 Netherite Ingots",,See requirement notes below,Break every single tool in the game,shears,Mining,blazeandcave:mining/moar_broken_tools,,Breaking
80,Unique,,,0,0,FALSE,,Where are all your clothes?,Break every type of armor piece in the game (See requirement notes below),"4 Diamonds, 2 Netherite Ingots",,See requirement notes below,Break every type of armor piece in the game,chainmail_leggings,Mining,blazeandcave:mining/where_are_all_your_clothes,,Breaking
81,Subset,,,0,0,FALSE,,"DIAM- oh, wait, no",It's still useful for enchanting (Obtain lapis lazuli),8 Lapis Lazuli,,Obtain lapis lazuli,It's still useful for enchanting,lapis_lazuli,Mining,blazeandcave:mining/diam_oh_wait_no,,
82,Subset,,,0,0,FALSE,,Lapis Lazuli Miner,Mine enough lapis lazuli to craft a stack of lapis lazuli blocks,8 Lapis Lazuli Blocks,,,Mine enough lapis lazuli to craft a stack of lapis lazuli blocks,lapis_block,Mining,blazeandcave:mining/lapis_lazuli_miner,,
83,Subset,,,0,0,FALSE,,Seeing Red,Mine some redstone from the deepest caves (Obtain redstone dust),4 Redstone Dust,,Obtain redstone dust,Mine some redstone from the deepest caves,redstone,Mining,blazeandcave:mining/seeing_red,,
84,Subset,,,0,0,FALSE,,The way to spawn,Craft a compass in case you forgot where spawn is (Obtain a compass),2 Iron Ingots,,Obtain a compass,Craft a compass in case you forgot where spawn is,compass,Mining,blazeandcave:mining/the_way_to_spawn,,
85,Subset,,,0,0,FALSE,,"What's the time, Mr Wolf?","Time to clean your clocks! (Or, craft them) (Obtain a clock)",2 Gold Ingots,,Obtain a clock,"Time to clean your clocks! (Or, craft them)",clock,Mining,blazeandcave:mining/whats_the_time_mr_wolf,,
86,Subset,,,0,0,FALSE,,Redstone Miner,Mine enough redstone to craft a stack of redstone blocks,8 Redstone Blocks,,,Mine enough redstone to craft a stack of redstone blocks,redstone_block,Mining,blazeandcave:mining/redstone_miner,,
87,Subset,,,0,0,FALSE,,G.I. Geode,Find an Amethyst Geode and mine an Amethyst Cluster (Obtain an amethyst shard),4 Amethyst Shards,,Obtain an amethyst shard,Find an Amethyst Geode and mine an Amethyst Cluster,amethyst_cluster,Mining,blazeandcave:mining/gi_geode,,
88,Subset,,,0,0,FALSE,,Good For Your Bones,Mine some Calcite encasing an Amethyst Geode (Obtain calcite),,,Obtain calcite,Mine some Calcite encasing an Amethyst Geode,calcite,Mining,blazeandcave:mining/good_for_your_bones,,
89,Subset,,,0,0,FALSE,,Galileo Figaro,Zoom in on something using a Spyglass (Zoom in using a spyglass),,,Zoom in using a spyglass,Zoom in on something using a Spyglass,spyglass,Mining,blazeandcave:mining/galileo_figaro,,
90,Child,,,0,0,FALSE,,Blackout,Craft Tinted Glass using Glass and Amethyst Shards and use it to block out light (Place tinted glass),4 Tinted Glass,,Place tinted glass,Craft Tinted Glass using Glass and Amethyst Shards and use it to block out light,tinted_glass,Mining,blazeandcave:mining/blackout,,All Items
91,Subset,,,0,0,FALSE,,Amethyst Miner,"Mine a stack of Amethyst Blocks, Amethyst Clusters, and every size of Amethyst Bud (Obtain 64 Amethyst Blocks, Clusters, and Small, Medium and Large Amethyst Buds)",8 Amethyst Blocks,,"Obtain 64 Amethyst Blocks, Clusters, and Small, Medium and Large Amethyst Buds","Mine a stack of Amethyst Blocks, Amethyst Clusters, and every size of Amethyst Bud",amethyst_block,Mining,blazeandcave:mining/amethyst_miner,,
92,Subset,,,0,0,FALSE,,Diamonds!,Obtain diamonds,1 Diamond,,,Obtain diamonds,diamond_ore,Mining,minecraft:story/mine_diamond,,
93,Subset,,,0,0,FALSE,,Iconic Merchandising Prop,Create a pickaxe of the highest calibre (Obtain a diamond pickaxe),1 Diamond,,Obtain a diamond pickaxe,Create a pickaxe of the highest calibre,diamond_pickaxe,Mining,blazeandcave:mining/iconic_merchandising_prop,,
94,Subset,,,0,0,FALSE,,Stabcraft,Do you like my sword sword? (Obtain a diamond sword),1 Diamond,,Obtain a diamond sword,Do you like my sword sword?,diamond_sword,Mining,blazeandcave:mining/stabcraft,,
95,Subset,,,0,0,FALSE,,Even MOAR tools,"Craft a full diamond tools set (Craft a diamond pickaxe, shovel, axe and hoe)",2 Diamonds,,"Craft a diamond pickaxe, shovel, axe and hoe",Craft a full diamond tools set,diamond_shovel,Mining,blazeandcave:mining/even_moar_tools,,
96,Subset,,,0,0,FALSE,,Rest in Pickaxes,Break your first diamond pickaxe,2 Diamonds,,,Break your first diamond pickaxe,diamond_pickaxe,Mining,blazeandcave:mining/rest_in_pickaxes,,
97,Subset,,,0,0,FALSE,,Cover Me With Diamonds,"Diamond armor saves lives (Wear either a diamond helmet, chestplate, leggings, or boots)",2 Diamonds,,"Wear either a diamond helmet, chestplate, leggings, or boots",Diamond armor saves lives,diamond_chestplate,Mining,minecraft:story/shiny_gear,,
98,Incidental,,,0,0,FALSE,,Diamond Clad,"A full suit of diamond armor saves even more lives (Wear a diamond helmet, chestplate, leggings, and boots at the same time)",3 Diamonds,,"Wear a diamond helmet, chestplate, leggings, and boots at the same time",A full suit of diamond armor saves even more lives,diamond_helmet,Mining,blazeandcave:mining/diamond_clad,,
99,Subset,,,0,0,FALSE,,Diamond Miner,Mine a stack of diamonds. Good luck!,8 Diamonds,,,Mine a stack of diamonds. Good luck!,deepslate_diamond_ore,Mining,blazeandcave:mining/diamond_miner,,
100,Subset,,,0,0,FALSE,,Diamonds to you!,Throw diamonds at another player or mob (Throw a diamond and have any other entity pick it up),2 Diamonds,,Throw a diamond and have any other entity pick it up,Throw diamonds at another player or mob,diamond,Mining,blazeandcave:mining/diamonds_to_you,,
101,Subset,,,0,0,FALSE,,Mineral Collection,Craft every type of mineral block (See requirement notes below),,,See requirement notes below,Craft every type of mineral block,raw_gold_block,Mining,blazeandcave:mining/mineral_collection,,
102,Subset,,,0,0,FALSE,,Master Diamond Miner,Mine enough diamond to make a stack of diamond blocks,8 Diamond Blocks,,,Mine enough diamond to make a stack of diamond blocks,diamond_block,Mining,blazeandcave:mining/master_diamond_miner,,
103,Subset,,,0,0,FALSE,,Mr. Bean,"Craft a stack of Raw Iron, Copper and Gold Blocks","3 Raw Iron Blocks, 3 Raw Copper Blocks, 3 Raw Gold Blocks",,,"Craft a stack of Raw Iron, Copper and Gold Blocks",raw_copper_block,Mining,blazeandcave:mining/mr_bean,,
104,Subset,,,0,0,FALSE,,Emerald Miner,Mine a stack of raw emerald ore (Obtain 64 Emerald Ore or 64 Deepslate Emerald Ore),8 Emeralds,,Obtain 64 Emerald Ore or 64 Deepslate Emerald Ore,Mine a stack of raw emerald ore,emerald_ore,Mining,blazeandcave:mining/emerald_miner,,
105,Subset,,,0,0,FALSE,,Oresome!,Mine a stack of every ore block (See requirement notes below),,,See requirement notes below,Mine a stack of every ore block,deepslate_redstone_ore,Mining,blazeandcave:mining/oresome,,
106,Subset,,,0,0,FALSE,,Hot Stuff,Fill a bucket with lava (Obtain a lava bucket),,,Obtain a lava bucket,Fill a bucket with lava,lava_bucket,Mining,minecraft:story/lava_bucket,,
107,Subset,,,0,0,FALSE,,Ice Bucket Challenge,Form and mine a block of obsidian (Obtain a block of obsidian),2 Obsidian,,Obtain a block of obsidian,Form and mine a block of obsidian,obsidian,Mining,minecraft:story/form_obsidian,,
108,Subset,,,0,0,FALSE,,Enchanter,Craft an enchanting table,3 Lapis Lazuli,,,Craft an enchanting table,enchanting_table,Mining,minecraft:story/enchant_item,,
